song,category,original_artist,wiki_url,youtube_url
"כשאת בוכה את לא יפה - אליניב ברדה","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=כשאת_בוכה_את_לא_יפה_-_אליניב_ברדה","https://www.youtube.com/watch?v=1tDbPqWL0tI"
"מונו - ויקטור מרעי","קטגוריה:שירי שחקנים","שלומי סרנגה","https://wiki.red-fans.com/index.php?title=מונו_-_ויקטור_מרעי","https://www.youtube.com/watch?v=v-TvQaCz_tU"
"סיגל-דני עמוס","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=סיגל-דני_עמוס","https://www.youtube.com/watch?v=yn8Q6PLWQQs"
"שיר ההבדלה - שביט אלימלך","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=שיר_ההבדלה_-_שביט_אלימלך","https://www.youtube.com/watch?v=mD21Wh-2ac4"
"שלוש בלילה-בריאן גרזיצ'יץ'","קטגוריה:שירי שחקנים","","https://wiki.red-fans.com/index.php?title=שלוש_בלילה-בריאן_גרזיצ'יץ'","https://www.youtube.com/watch?v=NyRZQko3gIY"
"תפילה - גילי ורמוט","קטגוריה:שירי שחקנים","עופרה חזה","https://wiki.red-fans.com/index.php?title=תפילה_-_גילי_ורמוט","https://www.youtube.com/watch?v=BUJMDix8If4"
"אדומה שלי","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=אדומה_שלי","https://www.youtube.com/watch?v=m2rGnG2HyUM"
"אדומה שלי","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=אדומה_שלי","https://www.youtube.com/watch?v=y7xN1Wg4rRo"
"אמרו לו","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=אמרו_לו","https://www.youtube.com/watch?v=Q1VGoKBKR3I"
"היה לנו טוב נהיה לנו רע","קטגוריה:שירים","להקת הביטלס","https://wiki.red-fans.com/index.php?title=היה_לנו_טוב_נהיה_לנו_רע","https://www.youtube.com/watch?v=Gxx-dOHias8"
"הפועל תל אביב המנון האוהדים והשחקנים","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=הפועל_תל_אביב_המנון_האוהדים_והשחקנים","https://www.youtube.com/watch?v=MuA7LWFAXus"
"כמו פעם אוסישקין","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=כמו_פעם_אוסישקין","https://www.youtube.com/watch?v=lJ0akKvq9AE"
"כמו פעם אוסישקין","קטגוריה:שירים","","https://wiki.red-fans.com/index.php?title=כמו_פעם_אוסישקין","https://www.youtube.com/watch?v=nT9VV3W5hqM"
"לעולם לא תצעדי לבד","קטגוריה:שירים","יפה ירקוני","https://wiki.red-fans.com/index.php?title=לעולם_לא_תצעדי_לבד","https://www.youtube.com/watch?v=Dd9qP-taSes"
"אוהב אותך אני שלך","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=אוהב_אותך_אני_שלך","https://www.youtube.com/watch?v=JhbYESVx9qE"
"אותך אני אוהב","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=אותך_אני_אוהב","https://www.youtube.com/watch?v=OMOGaugKpzs"
"איפה שתגידי אני מתייצב","קטגוריה:שירים מהיציע","אוהדי אריס","https://wiki.red-fans.com/index.php?title=איפה_שתגידי_אני_מתייצב","https://www.youtube.com/watch?v=4F8N2gQC9f8"
"אם הצהובים היו עמוק באדמה","קטגוריה:שירים מהיציע","להקת הנח""ל","https://wiki.red-fans.com/index.php?title=אם_הצהובים_היו_עמוק_באדמה","https://www.youtube.com/watch?v=0ogtkBWvpps"
"אני לא רגוע","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=אני_לא_רגוע","https://www.youtube.com/watch?v=QeooG13vzdw"
"אשתו של אובארוב","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=אשתו_של_אובארוב","https://www.youtube.com/watch?v=cfAHLES_Yd8"
"את כמו אש","קטגוריה:שירים מהיציע","קובי פרץ","https://wiki.red-fans.com/index.php?title=את_כמו_אש","https://www.youtube.com/watch?v=SeSDsbsIUh0"
"בחורים שותים קצת יין","קטגוריה:שירים מהיציע","הג'ירפות","https://wiki.red-fans.com/index.php?title=בחורים_שותים_קצת_יין","https://www.youtube.com/watch?v=Et8aqlwCeh4"
"בכל העולם","קטגוריה:שירים מהיציע","מייקל ג'קסון","https://wiki.red-fans.com/index.php?title=בכל_העולם","https://www.youtube.com/watch?v=pAyKJAtDNCw"
"בכל מקום בכל מגרש","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=בכל_מקום_בכל_מגרש","https://www.youtube.com/watch?v=n4RjJKxsamQ"
"בכל שבוע קרנבל","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=בכל_שבוע_קרנבל","https://www.youtube.com/watch?v=tKJwvQfraY8"
"בניצחון בכשלון אני שלך","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=בניצחון_בכשלון_אני_שלך","https://www.youtube.com/watch?v=U6AOviMQoN0"
"בתאונת מטוס קלה","קטגוריה:שירים מהיציע","צביקה פיק","https://wiki.red-fans.com/index.php?title=בתאונת_מטוס_קלה","https://www.youtube.com/watch?v=WaZZHweZwBI"
"גם אם תשחקי בשדה מוקשים","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=גם_אם_תשחקי_בשדה_מוקשים","https://www.youtube.com/watch?v=SzGr282fgAM"
"המורי הזקן","קטגוריה:שירים מהיציע","דקלון","https://wiki.red-fans.com/index.php?title=המורי_הזקן","https://www.youtube.com/watch?v=TeCEFML_ssM"
"המקל בתוף פוגע","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=המקל_בתוף_פוגע","https://www.youtube.com/watch?v=t-PhGnkn_hU"
"הפועל אחרייך","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_אחרייך","https://www.youtube.com/watch?v=bKcv-D2YwP0"
"הפועל אני אמות אם צריך","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_אני_אמות_אם_צריך","https://www.youtube.com/watch?v=fY275qCUbKA"
"הפועל זה החיים (שיר)","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_זה_החיים_(שיר)","https://www.youtube.com/watch?v=WI2NYRhlM30"
"הפועל זו דת","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_זו_דת","https://www.youtube.com/watch?v=kvDMlk3kSYg"
"הפועל שיגעת אותי","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_שיגעת_אותי","https://www.youtube.com/watch?v=x9_R75LjnZg"
"הפועל תראי מה קרה לי","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפועל_תראי_מה_קרה_לי","https://www.youtube.com/watch?v=y58sNQCvS58"
"הפרח בגני","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=הפרח_בגני","https://www.youtube.com/watch?v=vcpgpEUlKfk"
"זיכרון ישן","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=זיכרון_ישן","https://www.youtube.com/watch?v=zRIn7W-kXhs"
"יאללה יאללה הפועל - כולם עכשיו לקפוץ","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=יאללה_יאללה_הפועל_-_כולם_עכשיו_לקפוץ","https://www.youtube.com/watch?v=Ry9ijNhIw-w"
"יוצא היום לקרב","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=יוצא_היום_לקרב","https://www.youtube.com/watch?v=7Mn1WN5yeag"
"כדי להיות אוהד של הפועל","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=כדי_להיות_אוהד_של_הפועל","https://www.youtube.com/watch?v=oxPWVX-qSrQ"
"כל העולם כולו","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=כל_העולם_כולו","https://www.youtube.com/watch?v=x5tdi0zzvDM"
"כשאת עולה למגרש","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=כשאת_עולה_למגרש","https://www.youtube.com/watch?v=58lN67LfJpw"
"לא יודע להסביר","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=לא_יודע_להסביר","https://www.youtube.com/watch?v=WPiEbYSF9kE"
"לפעמים","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=לפעמים","https://www.youtube.com/watch?v=bh9JerE0daA"
"מה אני אני רק בן אדם","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מה_אני_אני_רק_בן_אדם","https://www.youtube.com/watch?v=LhEVbDprJ8s"
"מחכה כבר שעות","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מחכה_כבר_שעות","https://www.youtube.com/watch?v=KjeK0Kg2Pa4"
"מטריפה לי את המוח","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מטריפה_לי_את_המוח","https://www.youtube.com/watch?v=i54fb_5J4cE"
"מי המציא את המילה","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מי_המציא_את_המילה","https://www.youtube.com/watch?v=ZO_jmzvPcDY"
"מיום הולדתי אני כולי שלך","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מיום_הולדתי_אני_כולי_שלך","https://www.youtube.com/watch?v=YUU9W55KFf8"
"מיום שנולדתי רק דבר אחד","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מיום_שנולדתי_רק_דבר_אחד","https://www.youtube.com/watch?v=LH-i8IvYIcg"
"מכבי זה קקי","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מכבי_זה_קקי","https://www.youtube.com/watch?v=brv7X6x3Prg"
"מכבי שואה","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מכבי_שואה","https://www.youtube.com/watch?v=FqSSdSw2XSU"
"מצצי (יא בת שרמוטה)","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=מצצי_(יא_בת_שרמוטה)","https://www.youtube.com/watch?v=TzW_N8YnTpw"
"נה נה נה אבי נימני בן זונה","קטגוריה:שירים מהיציע","בועז שרעבי","https://wiki.red-fans.com/index.php?title=נה_נה_נה_אבי_נימני_בן_זונה","https://www.youtube.com/watch?v=x9_iYKQb39o"
"עדים לנו כוכבי מרום","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=עדים_לנו_כוכבי_מרום","https://www.youtube.com/watch?v=KSoOcvB3p3o"
"צועניה נפלאה","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=צועניה_נפלאה","https://www.youtube.com/watch?v=pz6TeRhHIUo"
"קוקאין ואלכוהול","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=קוקאין_ואלכוהול","https://www.youtube.com/watch?v=2hUe1rUEBhk"
"רק בשבילך הפועל כתבתי שיר","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=רק_בשבילך_הפועל_כתבתי_שיר","https://www.youtube.com/watch?v=-9f24o5V60k"
"רק הפועל","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=רק_הפועל","https://www.youtube.com/watch?v=NOh4KdVd0uM"
"שיר העמותה","קטגוריה:שירים מהיציע","הגבעתרון","https://wiki.red-fans.com/index.php?title=שיר_העמותה","https://www.youtube.com/watch?v=yD63wCaMQYI"
"שמעון מזרחי מאפיה","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=שמעון_מזרחי_מאפיה","https://www.youtube.com/watch?v=SGak50EhVlQ"
"שמעון מזרחי תתאבד כבר","קטגוריה:שירים מהיציע","","https://wiki.red-fans.com/index.php?title=שמעון_מזרחי_תתאבד_כבר","https://www.youtube.com/watch?v=DonEXdMvwYg"
